,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_19_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IMTwsZCfPS78XluaVHfcsWRhST9y,length,0,2,-0.39118725,2,-0.39118725,1,-1.1281219,3,-9.586721, ,-11.563555,0,-12.141998,4,-12.719072,5,-13.365553,**,-13.53073,-,-13.6545,"
",-13.677481,The,-13.832665,7,-14.259543,I,-14.350564,6,-14.452828,Sorry,-14.717748,9,-14.796959,Please,-14.809899,Answer,-15.050792,Neither,-15.09581,ERROR,-15.184394,2,assistant,1714163352,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,119,120,0,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IMTxoVWN1VQCknmQAPFM02HoJ8ox,length,0,1,-0.5399209,1,-0.5399209,2,-0.8742372,3,-11.530878,0,-12.610362, ,-12.628204,-,-13.414127,"
",-13.867568,**,-14.260315,4,-14.665786,The,-15.055955,I,-15.503793,Please,-15.519245,5,-15.777112,#,-15.806278,"

",-15.898616,Sorry,-15.904713,<|end|>,-15.910675,"""",-15.935276,(,-15.9475155,Answer,-15.952345,1,assistant,1714163353,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,126,127,1,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IMTx778rNCFwi372axZWvhJPXtmz,length,0,2,-0.5598958,2,-0.5598958,3,-0.9436067,1,-3.2316697,4,-11.701797, ,-12.407773,"
",-14.235339,0,-14.501635,5,-14.679223,**,-14.716,-,-14.822782,<|end|>,-14.882779,The,-15.193348,6,-15.774535,I,-15.781743,{,-15.805902,(,-15.932123,Please,-15.982885,"

",-15.99631,7,-16.019894,*,-16.050533,2,assistant,1714163353,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,127,128,2,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IMTxghNSZVt8HmgzvPQvJoIZ2bLJ,length,0,2,-0.17074484,2,-0.17074484,1,-1.8522654,3,-10.500125,0,-11.014143, ,-11.216241,4,-12.802709,**,-13.164129,5,-13.210922,-,-13.395721,"
",-13.616956,7,-14.074678,The,-14.093837,ERROR,-14.266489,6,-14.28825,9,-14.394955,#,-14.899593,8,-15.005602,Answer,-15.032418,.,-15.046439,I,-15.129103,2,assistant,1714163353,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,157,158,3,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IMTyWtMcj6ZUB7duTY2M4jgaL4O3,length,0,1,-0.02104873,1,-0.02104873,2,-3.8741124,0,-10.409883, ,-11.769919,3,-12.117568,**,-12.676265,"
",-13.487123,-,-14.020767,Answer,-14.489703,The,-14.727236,4,-14.762486,#,-14.7723875,7,-14.937424,5,-15.027285,I,-15.301383,`,-15.343565,Sorry,-15.424792,​,-15.486912,"""",-15.639487,6,-15.658256,1,assistant,1714163354,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,117,118,4,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IMTykS1gFrzvfGTWGf4v2P5hUr4F,length,0,2,-0.46250015,2,-0.46250015,1,-1.0009027,C,-7.8730645,Bu,-7.9242463,Y,-8.433373,3,-8.444289,E,-8.493583,R,-8.528401,İ,-8.536496,0,-9.057414,Tor,-9.573457,CE,-9.605399,As,-9.653705,B,-9.7258215,Ç,-9.928927,"""",-10.053685,Po,-10.250934,Bur,-10.363975, ,-10.387645,Pat,-10.444285,2,assistant,1714163354,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,200,201,5,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IMTzeeVwKgnJYBiHrn4wKYC250gK,length,0,2,-0.46361604,2,-0.46361604,1,-0.99828017,E,-7.75474,3,-8.159101,İ,-8.297397,Y,-8.653306,Do,-8.79226,C,-8.86423,CE,-9.267474,**,-9.303983,Ç,-9.333957,0,-9.352868,Bu,-9.394296,"""",-9.599629,Ö,-9.944612,R,-10.023881,B,-10.279368, ,-10.590215,As,-10.712192,Pat,-10.725566,2,assistant,1714163355,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,219,220,6,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IMTz2RQlJE8eyGxSjrMfxlhEQ43o,length,0,2,-0.054616507,2,-0.054616507,1,-3.4544883,3,-3.8872142,**,-8.619608,R,-8.658146,Ç,-8.977993,Y,-9.315292,Ben,-9.993507,İ,-10.029402,E,-10.138428,C,-10.165205,Bu,-10.390818,Do,-10.643349,"""",-10.89039, ,-11.019415,4,-11.020517,Bur,-11.154444,CE,-11.198765,(,-11.288277,[,-11.406015,2,assistant,1714163355,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,216,217,7,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IMTzkOJxMWuT6kjHuwNQURiVZqdo,length,0,1,-0.29813606,1,-0.29813606,2,-1.3633368,E,-7.915343,0,-8.22711,Tor,-8.538742,3,-8.6646805,Bu,-8.766228,İ,-9.0185375,Y,-9.106806,C,-9.778328,As,-9.947578,Ö,-9.949715,Po,-10.039227,Do,-10.257002,{,-10.35401,B,-10.412466,"""",-10.435709,**,-10.5262375,R,-10.774771,Ben,-10.808773,1,assistant,1714163355,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,273,274,8,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IMU0om0EqXhrOoyD4qDd6YvtAL3i,length,0,2,-0.43316585,2,-0.43316585,1,-1.075208,E,-5.2287097,Tor,-7.1342425,3,-7.263738,0,-7.690376,R,-7.9354186,İ,-8.074399,Y,-8.098969,"""",-8.27966,Po,-8.381145,{,-9.021474,"""E",-9.040854,Bu,-9.195977,4,-9.250604,Ç,-9.287808,B,-9.347617,C,-9.566482,5,-9.697669,6,-9.820083,2,assistant,1714163356,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,210,211,9,,,,,,,,,
