,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_11_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_5_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_8_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IUjQwP3rCjMKwBkug80b8bAGphUd,length,0,2,-3.888926e-06,2,-3.888926e-06,**,-12.915356,Since,-15.360699,1,-15.459324,Based,-15.581333,Sam,-15.747608,Respond,-15.905764, ,-15.959446,"
",-16.040865,Given,-16.208145,The,-16.379131,２,-17.689352,Despite,-18.079454,`,-18.321236,3,-18.61341,\[,-18.754484,​,-18.97736,She,-19.214859,   ,-19.311073,,-19.325575,2,assistant,1714195064,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IUjRgbwsmV4shsRd35Gko3ogFrDh,length,0,2,-7.3458323e-06,2,-7.3458323e-06,1,-12.588135,**,-13.130365,Based,-14.777374,Sam,-15.020569,Since,-15.117029,Given,-15.309303,The,-15.61816,Respond,-15.698565, ,-16.157404,Despite,-16.208569,"
",-16.570621,２,-17.47126,`,-18.081438,Although,-18.483807,3,-18.680916,\[,-18.81271,Even,-18.856981,​,-18.891624,Considering,-18.944618,2,assistant,1714195065,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IUjRIyQmICjC9aIPuVM8ACreYanp,length,0,3,-0.26202425,3,-0.26202425,2,-1.4682659,1,-8.666943,Since,-11.818985,Sam,-12.798275,Given,-14.793137,**,-15.891674,If,-16.582434,Based,-16.605185,Respond,-16.979794,"
",-17.588528,The,-17.701637,Considering,-17.89634, ,-18.228783,She,-19.0606,Despite,-19.22248,Answer,-19.285175,Even,-19.339468, Sam,-19.451197,Because,-19.546757,3,assistant,1714195065,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,127,128,2,,,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IUjSIiJpBHBmrFHknNrxxeWRWe8W,length,0,1,-1.3856493e-06,1,-1.3856493e-06,**,-14.242358,2,-14.270938,１,-18.058147, ,-18.20202,Respond,-19.495632,The,-19.549376,`,-19.861248,"
",-19.872595,Based,-20.063467,₁,-20.19119,Given,-20.466984,Sam,-20.960077,,-21.008257,Since,-21.028261,3,-21.23195,*,-21.546158,¹,-21.814882,***,-22.089237,[,-22.135805,1,assistant,1714195066,gpt-4-turbo-2024-04-09,chat.completion,fp_0e47b86dd9,1,157,158,3,,,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IUjSFAzpNIBhl3wDh028fW47jeI4,length,0,1,-0.00028421928,1,-0.00028421928,2,-8.168539,The,-15.314198,**,-15.917818,Since,-16.006678,Sam,-16.068043,"
",-16.379698,Given,-16.633776,Based,-16.711102, ,-16.914331,Respond,-17.832594,3,-18.208158,１,-19.253431,According,-19.384983,There,-19.42645,Answer,-19.600296,If,-19.666853,Despite,-19.883482,Considering,-19.88899,`,-20.186647,1,assistant,1714195066,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IUjTZGBBeQJdsXiLNpbnE8PvOWTg,length,0,2,-7.3458323e-06,2,-7.3458323e-06,**,-12.331285,1,-13.901028,"
",-14.195103,E,-14.478632, ,-16.24945,3,-16.287754,İ,-16.397123,Po,-16.635769,Ç,-16.9972,Et,-17.045937,`,-17.426498,\(,-17.474894,Bu,-17.80684,"""",-18.146954,```,-18.467638,0,-18.556763,*,-18.66287,-,-18.728817,4,-18.751976,2,assistant,1714195067,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IUjUeE611mpzt9IhHOfH0d4IlmMp,length,0,2,-0.0010017282,2,-0.0010017282,1,-6.912413,**,-12.353077,"
",-14.340185,E,-14.533133,Et,-15.616665,İ,-16.438665,Ç,-16.822445, ,-16.830013,Po,-16.934753,3,-17.202585,`,-17.843542,"""",-18.455774,Bu,-18.808863,```,-18.828424,Y,-18.85071,S,-18.993048,B,-19.037943,0,-19.128508,\(,-19.148123,2,assistant,1714195068,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IUjVHMrMJrpCIuq30UaYTbJ1nS7h,length,0,3,-0.10687476,3,-0.10687476,2,-2.2941153,1,-7.6144013,E,-11.087154,"
",-13.193392,**,-14.370813,Bel,-16.729258,Po,-16.912916,Since,-17.157337,Et,-17.790361,Ç,-17.88144, ,-18.182611,[E,-18.675592,İ,-19.040785,"""E",-19.187983,Bu,-19.542807,"

",-19.592937,P,-19.653229,[,-19.674871,4,-19.783354,3,assistant,1714195069,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IUjVuRKeIb477e6co8c29IPmHT5h,length,0,1,-0.014035396,1,-0.014035396,2,-4.273423,E,-13.0981455,**,-14.07035,"
",-15.592412,Ç,-16.991926,İ,-17.00964,3,-17.127901, ,-17.195187,Po,-18.548843,`,-18.559036,\(,-18.854694,ç,-19.132978,0,-19.271894,Bu,-19.427296,Ö,-19.637354,I,-19.861483,B,-19.919676,4,-20.011017,C,-20.02112,1,assistant,1714195069,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IUjWVSgnOaeOx6Aoenmok40yp5RH,length,0,1,-0.022070173,1,-0.022070173,2,-3.8247168,Et,-13.313084,**,-13.557331,E,-14.384365,"
",-15.636234,İ,-17.34921,Po,-17.697895,Ç,-17.888884,\(,-18.234486,3,-18.396376, ,-18.806225,0,-19.400225,The,-19.564676,`,-19.591574,Bu,-19.774733,B,-19.942904,S,-20.210646,C,-20.35211,Ö,-20.429653,1,assistant,1714195070,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,,,,
