,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_8_bytes,choices_0_logprobs_content_0_top_logprobs_5_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_3_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9INMNiKoPca13dNhoaD4YCmQi2X2V,length,0,2,-3.0545007e-06,2,-3.0545007e-06,**,-13.665441,Since,-14.667851,Based,-14.967013,1,-15.150716,Given,-15.556315,Sam,-15.787154, ,-15.958037,"
",-16.312649,The,-16.32235,Respond,-16.476578,２,-18.028011,Despite,-18.059572,3,-18.564976,`,-18.655235,If,-18.702557,Considering,-18.72102,​,-18.862429,Although,-19.04815,\[,-19.053703,2,assistant,1714166727,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9INMNper9LoVxc4mNpKz81jOgThyO,length,0,2,-2.3438328e-05,2,-2.3438328e-05,1,-10.823319,**,-13.585881,Sam,-14.289231,Since,-14.911082,Based,-15.034244,Given,-15.500669,Respond,-15.503594,Despite,-15.565606, ,-15.869508,The,-16.025085,"
",-16.444868,２,-17.696012,3,-17.952131,Although,-18.030006,Even,-18.18037,`,-18.219261,If,-18.653612,​,-18.697847,\[,-18.761688,2,assistant,1714166727,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9INMOaSNF2259mmHZJVCzzJQVWJA9,length,0,2,-0.43621883,2,-0.43621883,3,-1.040013,1,-9.790153,Since,-11.186303,Sam,-12.886472,Given,-14.342061,**,-15.43958,Based,-15.986112,If,-16.096579,"
",-16.778309,Respond,-17.105907,The,-17.394539,Considering,-17.587456, ,-17.641796,She,-18.625156,Despite,-18.78471,Because,-18.860226,Although,-18.952427,Ass,-19.011637,Even,-19.160671,2,assistant,1714166728,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,127,128,2,,,,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9INMPRmJQSLwwwgASPWpSFUJj2Uaq,length,0,1,-1.0280384e-06,1,-1.0280384e-06,**,-14.285943,2,-14.75241, ,-18.46643,"
",-18.754372,Based,-18.877993,Given,-18.96849,１,-19.336073,The,-19.373182,Respond,-19.38375,Sam,-19.525658,Since,-19.662718,`,-19.687513,₁,-20.536053,3,-20.752844,0,-20.76906,,-21.261086,If,-21.314579,***,-21.365433,*,-21.644121,1,assistant,1714166729,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,157,158,3,,,,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9INMPFQrg61U1RgMvKffwarMN9NhB,length,0,1,-0.00016694854,1,-0.00016694854,2,-8.705485,The,-15.045508,**,-15.4873,Since,-15.7001295,Sam,-15.817618,"
",-16.127449,Based,-16.491276,Given,-16.668945, ,-16.831749,Respond,-17.414484,3,-17.894852,There,-18.383198,１,-18.60897,According,-18.880096,Answer,-18.886305,Despite,-19.17182,If,-19.52375,Considering,-19.622541,This,-19.62387,1,assistant,1714166729,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9INMQwWkH9WTBFPNeGPwkLY9e83bc,length,0,2,-4.9617593e-06,2,-4.9617593e-06,**,-12.642331,1,-14.167281,"
",-14.868222,E,-14.981507,3,-16.732513,İ,-16.772627,Po,-16.930868,Ç,-16.992655,Et,-17.080467, ,-17.370111,`,-17.60095,Bu,-18.200893,\(,-18.3384,0,-18.4262,"""",-18.58796,```,-18.720825,Y,-18.878656,C,-18.988539,{,-19.222523,2,assistant,1714166730,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9INMRH0i14W3OO4C1tecormfqcTgJ,length,0,2,-0.0028025059,2,-0.0028025059,1,-5.882151,**,-12.451364,E,-12.528108,Et,-13.820498,"
",-14.77576,Ç,-15.013137,İ,-15.547669,Po,-15.626893, ,-17.099823,Since,-17.81367,`,-17.85867,3,-17.944838,"""",-18.146542,Y,-18.177494,B,-18.204035,\(,-18.327173,S,-18.359499,Bu,-18.519566,P,-18.69539,2,assistant,1714166731,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9INMSxlJseTEn6L8GnLCQ3bVELq4Y,length,0,2,-0.034646045,2,-0.034646045,3,-3.3820925,1,-9.918424,E,-10.660771,"
",-13.08178,**,-13.746882,Since,-16.397911,Bel,-16.426516,Po,-16.573675,Ç,-16.93601, ,-17.08774,Et,-17.466845,İ,-17.666231,"""E",-17.681707,[E,-17.907335,Bu,-18.469246,B,-18.639326,Y,-18.746174,{,-18.780577,P,-18.942072,2,assistant,1714166732,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9INMSmRR9eDSkIzhIaPvgUFrXBGml,length,0,1,-0.0017915593,1,-0.0017915593,2,-6.326884,E,-13.52687,**,-14.011363,"
",-15.490382, ,-17.422155,Ç,-17.443752,3,-17.507418,İ,-17.605864,0,-19.066938,`,-19.182598,Po,-19.273508,ç,-19.403475,"

",-19.586515,Bu,-20.149757,\(,-20.221355,Ö,-20.33322,4,-20.396662,Pat,-20.492804,P,-20.539083,1,assistant,1714166732,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9INMT9k5CayHy5dZpxEz2eG4GdOxT,length,0,1,-0.011720445,1,-0.011720445,2,-4.4526615,E,-13.431051,Et,-13.681637,**,-13.775822,"
",-14.235868,Po,-17.266779, ,-17.42979,İ,-17.528973,3,-17.932825,Ç,-18.457846,\(,-18.80369,0,-19.044939,B,-19.247307,S,-19.349638,Bu,-19.387428,`,-19.60814,The,-19.741417,Pat,-20.01867,P,-20.046555,1,assistant,1714166733,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,,,,,
