index,question_id,question_language,question_tom_type,question_tom_order,question_type,answer_correct,content,is_correct,has_correct_reasoning,is_beyond_scope,has_grammatical_error,needs_debating
0,1_EN,English,Belief,1,Closed-ended,chocolate,Sam believes that the bag is full of chocolate.,TRUE,,,,
1,1_EN,English,Belief,1,Closed-ended,chocolate,chocolate.,TRUE,,,,
2,1_EN,English,Belief,1,Closed-ended,chocolate,chocolate,TRUE,,,,
3,1_EN,English,Belief,1,Closed-ended,popcorn,Sam believes that the bag is full of chocolate.,FALSE,,,,
4,1_EN,English,Belief,1,Closed-ended,popcorn,chocolate.,FALSE,,,,
5,1_EN,English,Belief,1,Closed-ended,uncertainty,Sam believes that the bag is full of chocolate.,FALSE,,,,
6,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Her belief would be based on other factors such as the appearance of the bag, any images on it, its smell, or information she might have received from others. If none of these factors provide her with information about the contents, she would not have a specific belief about whether the bag contains chocolate, popcorn, or something else.",TRUE,TRUE,TRUE,,
7,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Her belief would be based on other factors, such as the appearance of the bag, any images on it, or prior knowledge about similar bags. If the bag has no other indicators, she might not have a specific belief about its contents. If she has experience with similar bags being filled with popcorn, she might believe it is full of popcorn. Without additional context, we cannot determine what Sam believes is in the bag.",TRUE,TRUE,TRUE,,
8,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Her belief would likely be based on other cues, such as the shape of the bag, any images on the bag (if she can see pictures), the smell coming from the bag, or prior knowledge about similar bags. If none of these cues are available or if she has no prior knowledge, she may not have any specific belief about the contents of the bag.",TRUE,TRUE,TRUE,,
9,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Her belief would be based on other factors such as the appearance of the bag, any images on it, its location, past experiences, or information provided by others. If none of these factors suggest to her what the bag contains, she may not have any specific belief about its contents. Without additional context, it's not possible to determine what Sam believes is in the bag.",TRUE,TRUE,TRUE,,
10,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Without additional information, such as the smell of the contents or someone telling her what is inside, we cannot determine what Sam believes is in the bag. She would need to use other senses or get information from someone else to form a belief about the bag's contents.",TRUE,TRUE,TRUE,,
11,1_EN,English,Belief,1,Closed-ended,uncertainty,"Since Sam cannot read, she would not be able to understand the label that says ""chocolate."" Therefore, her belief about the contents of the bag would not be influenced by the label. Her belief would likely be based on other cues, such as the shape of the bag, any images on the bag (if she can see pictures), the smell coming from the bag, or prior knowledge about similar bags. If none of these cues suggest that the bag contains popcorn, and without any other information, we cannot determine what Sam believes is in the bag.",TRUE,TRUE,TRUE,,
12,1_EN,English,Belief,1,Closed-ended,uncertainty,chocolate.,FALSE,,,,
13,1_EN,English,Belief,1,Closed-ended,popcorn,popcorn,TRUE,,,,
14,1_EN,English,Belief,1,Closed-ended,popcorn,popcorn.,TRUE,,,,
15,1_EN,English,Belief,1,Closed-ended,popcorn,"popcorn

Despite the label stating that the bag has chocolate in it, we know from the information provided that Sam filled the bag with popcorn and closed it. Therefore, Sam believes that the bag is full of popcorn, as she was the one who filled it and is aware of its contents despite the incorrect label.",TRUE,TRUE,,,
16,1_TR-1,Turkish,Belief,1,Closed-ended,çikolata,Ezgi torbanın çikolata dolu olduğuna inanıyor.,TRUE,,,,
17,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi torbanın çikolata dolu olduğuna inanıyor.,FALSE,,,,
18,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,Ezgi torbanın çikolata dolu olduğuna inanıyor.,FALSE,,,,
19,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için, poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir şey düşünmüyor veya inanmıyor. Bu nedenle, boşluk şu şekilde doldurulmalıdır:

Ezgi torbanın ne ile dolu olduğuna dair bir fikri olmadığına inanıyor.",TRUE,TRUE,,,
20,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğuna dair etikette yazan bilgiyi anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir varsayımda bulunamaz. Bu durumda, Ezgi'nin poşetin içinde ne olduğuna dair bir inancı olmamalıdır. Ancak sorunuzda eksik bir bilgi var gibi görünüyor. Eğer Ezgi'nin poşetin içinde ne olduğuna dair bir inanç geliştirmesi gerekiyorsa, bu durumda sorunuzun tamamlanması gerekmektedir. Örneğin, Ezgi'nin poşetin içindeki mısırı koklayarak veya başka bir duyu organını kullanarak anlaması gibi bir durum olabilir. Ancak verilen bilgilerle, Ezgi'nin poşetin içinde ne olduğuna dair bir inancı olmadığı sonucuna varabiliriz.",TRUE,TRUE,TRUE,,
21,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için, poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir şeye inanmıyor.",TRUE,TRUE,,,
22,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için, poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir şey düşünmüyor veya inanmıyor.",TRUE,TRUE,,,
23,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğuna inanıyor olamaz. Ancak sorunun mantığına göre, eğer Ezgi etiketteki ""çikolata"" kelimesini tanıyabiliyor ve anlamını biliyorsa, torbanın çikolata dolu olduğuna inanabilir. Ancak bu durum, soruda verilen bilgilere göre mümkün değil çünkü Ezgi okuyamıyor. Bu nedenle, Ezgi torbanın içinde ne olduğuna dair bir varsayımda bulunamaz.",TRUE,TRUE,TRUE,,
24,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için, poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir şey düşünemez veya inanamaz. Bu nedenle, boşluk doldurma sorusunda doğru cevap verilemez, çünkü Ezgi'nin poşetin içeriği hakkında bir inancı olup olmadığı bilinmiyor.",TRUE,TRUE,,,
25,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi okuyamıyor, bu yüzden etikette ne yazdığını anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğuna dair bir inanca sahip olamaz. Bu nedenle, Ezgi poşetin içinde ne olduğuna dair bir varsayımda bulunamaz. Ancak, sorunun mantığına göre, Ezgi'nin etiketi görsel olarak tanıyabileceği ve çikolata kelimesini bir şekilde tanıyabileceği varsayılırsa, Ezgi poşetin içinde çikolata olduğuna inanabilir. Ancak bu, verilen bilgilere dayanarak yapılan bir varsayımdır ve soruda Ezgi'nin etiketi tanıyabileceği veya çikolata kelimesini anlayabileceği belirtilmemiştir. Bu nedenle, sorunun doğru cevabı verilen bilgilere göre ""Ezgi torbanın ne dolu olduğuna inanıyor"" olmalıdır. Ancak, bu durumda boş bir alan bırakılmış ve bir kelime bekleniyorsa, sorunun mantığına göre ""çikolata"" kelimesi uygun olacaktır.",TRUE,TRUE,TRUE,,
26,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için, poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğuna inanıyor olamaz. Bu nedenle, boşluk doldurma sorusunda verilen bilgilere göre bir cevap üretemeyiz. Ancak, eğer Ezgi'nin etiketteki resimlere veya başka ipuçlarına bakarak bir tahminde bulunabileceğini varsayarsak, o zaman belki poşetin üzerindeki ""çikolata"" yazısına dayanarak torbanın çikolata dolu olduğuna inanabilir. Ancak bu, verilen bilgilere dayanarak yapılan bir varsayımdır.",TRUE,TRUE,,,
27,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için etikette yazanlara göre bir varsayımda bulunamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğuna dair bir inanç geliştiremez. Bu nedenle, boşluk doldurulamaz.",TRUE,TRUE,,,
28,1_TR-1,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etiketi okuyamadığı için poşetin içinde ne olduğuna dair bir fikri olamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğuna inanıyor olamaz. Bu nedenle, boşluk şu şekilde doldurulmalıdır:

Ezgi torbanın ne ile dolu olduğuna inanıyor.",TRUE,TRUE,,,
29,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğuna inanıyor. Çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve Ezgi arkadaşına inanmıştır. Bu yüzden etikette ""çikolata"" yazsa da Ezgi poşetin içinde patlamış mısır olduğunu düşünüyor.",TRUE,TRUE,,,
30,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi torbanın patlamış mısır dolu olduğuna inanıyor. Çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve etiketi görmezden gelmesini tavsiye etmiş. Ezgi de arkadaşına inanıyor.,TRUE,TRUE,,,
31,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi torbanın patlamış mısır dolu olduğuna inanıyor.,TRUE,,,,
32,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın patlamış mısır dolu olduğuna inanıyor. Çünkü arkadaşı ona poşetin içinde patlamış mısır olduğunu söylemiş ve Ezgi arkadaşına inanmıştır. Bu yüzden etikette yazan ""çikolata"" ifadesini görmezden gelmiştir.",TRUE,TRUE,,,
33,1_TR-1,Turkish,Belief,1,Closed-ended,patlamış mısır,patlamış mısır,TRUE,,,,
34,1_TR-2,Turkish,Belief,1,Closed-ended,çikolata,"Ezgi torbanın ""çikolata"" dolu olduğunu zannediyor.",TRUE,,,,
35,1_TR-2,Turkish,Belief,1,Closed-ended,çikolata,Ezgi torbanın çikolata dolu olduğunu zannediyor.,TRUE,,,,
36,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,"Ezgi torbanın ""çikolata"" dolu olduğunu zannediyor.",FALSE,,,,
37,1_TR-2,Turkish,Belief,1,Closed-ended,patlamış mısır,Ezgi torbanın çikolata dolu olduğunu zannediyor.,FALSE,,,,
38,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,Ezgi torbanın çikolata dolu olduğunu zannediyor.,FALSE,,,,
39,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğunu zannedemez. Ancak, sorunuzda belirtilen bilgilere göre, Ezgi'nin torbanın içinde ne olduğunu tahmin etmesi gerekiyorsa, verilen bilgilere göre bir cevap veremeyiz çünkü Ezgi'nin okuyamadığı ve poşetin içini göremediği belirtilmiş. Dolayısıyla, Ezgi'nin torbanın içinde ne olduğunu zannedeceği hakkında bir bilgi verilemez.",TRUE,,,,
40,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi okuyamıyor, bu yüzden etikette ne yazdığını anlayamaz. Dolayısıyla, Ezgi torbanın ne ile dolu olduğunu etiketi okuyarak anlayamaz. Ancak, poşetin içini göremese de, poşetin şeklinden, kokusundan veya başka bir duyusal ipucundan ne olduğunu tahmin edebilir. Ancak verilen bilgilere göre Ezgi'nin torbanın içinde ne olduğunu zannettiğini belirlemek mümkün değil. Bu nedenle, sorunun cevabı verilen bilgilerle belirlenemez.",TRUE,TRUE,TRUE,,
41,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğunu zannedemez. Bu durumda, sorunun doğru cevabı verilemez çünkü Ezgi'nin poşetin içinde ne olduğunu zannettiği bilgisi yoktur.",TRUE,TRUE,,,
42,1_TR-2,Turkish,Belief,1,Closed-ended,belirsizlik,"Ezgi etikete bakıyor ancak okuyamıyor. Bu nedenle, Ezgi poşetin içinde ne olduğunu etiketten anlayamaz. Dolayısıyla, Ezgi poşetin içinde ne olduğunu zannedemez. Bu durumda, sorunun doğru cevabı verilemez çünkü Ezgi'nin poşetin içinde ne olduğunu düşündüğüne dair bir bilgi verilmemiştir.",TRUE,TRUE,,,
