,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_19_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IMQpiLUum5OrSzBeG1o0W3I53qiv,length,0,2,-0.19988875,2,-0.19988875,1,-1.7086568,3,-10.148486,0,-11.94428, ,-12.317847,4,-13.103962,"
",-13.260235,5,-13.574337,-,-13.606186,**,-13.834745,The,-13.923976,6,-14.562101,Please,-14.624361,7,-14.674918,I,-14.755069,Sorry,-14.777398,Answer,-14.829645,9,-15.104572,Unknown,-15.12626,You,-15.159346,2,assistant,1714163159,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,119,120,0,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IMQpEBtVuJaIMW0pjiRAZcBXYCHu,length,0,2,-0.079013936,2,-0.079013936,1,-2.577938,3,-11.09436, ,-11.989336,0,-12.116967,-,-12.875331,"
",-13.22869,**,-13.441279,4,-13.672047,The,-14.19431,5,-14.531998,#,-14.899489,"

",-14.948434,Answer,-15.140478,7,-15.1412115,6,-15.310721,9,-15.339603,Please,-15.633351,I,-15.636138,"""",-15.668349,2,assistant,1714163159,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,126,127,1,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IMQqyUroYXWCQCLhDLQ8rhH2wiKm,length,0,2,-0.41931129,2,-0.41931129,3,-1.2339685,1,-2.9691389,4,-11.718685, ,-12.594236,"
",-13.812973,0,-14.421912,5,-14.75303,-,-14.778949,<|end|>,-14.7795515,**,-14.926979,The,-15.530893,{,-15.756188,6,-15.87619,I,-15.922621,"

",-15.980235,7,-16.0919,*,-16.121279,[,-16.123993," 
",-16.202822,2,assistant,1714163160,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,127,128,2,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IMQqAdBu1FrXtskQlkEysx6yh57h,length,0,2,-0.26933646,2,-0.26933646,1,-1.4437826, ,-10.731601,3,-10.840371,0,-11.755871,**,-12.11243,-,-12.806062,"
",-13.033266,4,-13.477762,The,-13.686247,Answer,-14.024217,5,-14.090836,"""",-14.483698,"

",-14.520327,​,-14.529171,#,-14.530201,This,-14.751054,7,-14.751536,.,-14.84998,I,-14.8794985,2,assistant,1714163160,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,157,158,3,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IMQqP2QP7q2sEbJP9mHuRQKGwBeC,length,0,1,-0.028178912,1,-0.028178912,2,-3.58506,0,-10.390415,3,-12.139078, ,-12.575888,**,-12.736418,-,-13.860471,"
",-14.415172,The,-14.455487,#,-14.520496,Answer,-14.55305,4,-15.060247,7,-15.178245,I,-15.452736,5,-15.51992,Sorry,-15.633167,You,-15.707815,This,-15.836363,"""",-15.84386,A,-15.891055,1,assistant,1714163160,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,117,118,4,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IMQroFpySTxaA57Hk3t33xjkSfw7,length,0,2,-0.47137043,2,-0.47137043,1,-0.9846914,Y,-8.063501,E,-8.489332,Bu,-8.601742,R,-8.6192875,İ,-8.69496,3,-8.940315,CE,-9.213274,C,-9.227566,Tor,-9.295818,0,-9.356804, ,-9.6779175,Ç,-9.730379,"""",-9.860434,Do,-9.912182,B,-9.978861,As,-10.333675,Po,-10.364767,Ö,-10.404114,2,assistant,1714163161,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,200,201,5,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IMQrD2gNF0AU3Ns5LNWg2eEaSkn6,length,0,2,-0.46361604,2,-0.46361604,1,-0.99828017,E,-7.75474,3,-8.159101,İ,-8.297397,Y,-8.653306,Do,-8.79226,C,-8.86423,CE,-9.267474,**,-9.303983,Ç,-9.333957,0,-9.352868,Bu,-9.394296,"""",-9.599629,Ö,-9.944612,R,-10.023881,B,-10.279368, ,-10.590215,As,-10.712192,Pat,-10.725566,2,assistant,1714163161,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,219,220,6,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IMQsShRnJHjml6F0SSZFYbaZlnhM,length,0,2,-0.09890179,2,-0.09890179,1,-2.6937904,3,-3.6629658,R,-8.615681,Y,-8.837849,Ç,-9.221874,**,-9.637892,Ben,-9.845457,E,-10.079643,C,-10.08028,Bu,-10.5449295,İ,-10.689186,4,-10.778545, ,-10.956802,5,-11.35643,Do,-11.437874,"""",-11.525734,(,-11.562708,B,-11.637503,Bur,-11.649361,2,assistant,1714163162,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,216,217,7,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IMQstREY8wdkrVzxqjNm0b7sGxT5,length,0,1,-0.16884877,1,-0.16884877,2,-1.8678176,Do,-8.996245,İ,-9.532718,E,-9.547498,0,-9.707896,C,-9.799569,Y,-9.864148,Pat,-9.879746,**,-10.00517,Bu,-10.0073805,Po,-10.178039,Ö,-10.216323,3,-10.252589,CE,-10.741475,As,-10.909625,Tor,-10.996131,{,-11.033725,B,-11.23408, ,-11.652102,1,assistant,1714163162,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,273,274,8,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IMQsewzSzrR57OOYdiuUdLPZO05c,length,0,2,-0.44981825,2,-0.44981825,1,-1.0332667,E,-6.2646985,0,-7.091992,3,-7.18146,{,-8.056464,Tor,-8.161376,R,-8.234511,Y,-8.275912,"""",-8.637166,Po,-8.79268,İ,-8.974172,4,-9.064979,Ç,-9.173594,Bu,-9.338016,5,-9.444291,B,-9.519973,Do,-9.552331,6,-9.569726,7,-9.707414,2,assistant,1714163162,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,210,211,9,,,,,,,,
