study_id,model,custom_question_language_category,story_id,question_id,question_content,question_options,answer_correct,correct_answer_option,1_logprob,2_logprob,3_logprob,logprob_correct
1,gpt-3.5-turbo-0125,English,1-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",chocolate,2.0,-1.985468084,-0.1940940742,-10.39834595,-0.1940940742
1,gpt-3.5-turbo-0125,English,1-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",chocolate,2.0,-2.8360419400000003,-0.1098455621,-10.862298200000001,-0.1098455621
1,gpt-3.5-turbo-0125,English,1A-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-2.023106871,-0.33253745970000004,-11.2449823,-2.023106871
1,gpt-3.5-turbo-0125,English,1A-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-0.790239171,-0.7508913269999999,-11.21322145,-0.790239171
1,gpt-3.5-turbo-0125,English,1B-EN,1_EN/1B,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",uncertainty,3.0,-3.7951793699999996,-0.577438008,-0.9602867419999999,-0.9602867419999999
1,gpt-3.5-turbo-0125,English,1B-EN,2_EN/1B,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate, uncertainty",uncertainty,3.0,-3.80579068,-0.135444393,-2.3093259,-2.3093259
1,gpt-3.5-turbo-0125,English,1C-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-2.00211507,-0.1684755055,-10.5904299,-2.00211507
1,gpt-3.5-turbo-0125,English,1C-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-3.5209518600000003,-0.0342902477,-11.0536641,-3.5209518600000003
1,gpt-3.5-turbo-0125,English,1D-EN,1_EN,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-0.02031016049,-4.08000363,-12.3638054,-0.02031016049
1,gpt-3.5-turbo-0125,English,1D-EN,2_EN,She is delighted to have found this bag. She loves eating {RESPONSE}.,"popcorn, chocolate",popcorn,1.0,-0.1172749659,-2.84817608,-11.565005000000001,-0.1172749659
1,gpt-3.5-turbo-0125,English,2-EN,5_EN,John thinks that the cat is in the {RESPONSE}.,"box, basket",basket,2.0,-0.547941947,-0.870369133,-10.9271687,-0.870369133
1,gpt-3.5-turbo-0125,English,2-EN,6_EN,John will look for the cat in the {RESPONSE}.,"box, basket",basket,2.0,-0.31976527,-1.39055365,-11.5023953,-1.39055365
1,gpt-3.5-turbo-0125,English,2A-EN,5_EN/2A,John thinks that the cat is in the {RESPONSE}.,"box, chest",box,1.0,-0.848839331,-0.605875713,-10.41769585,-0.848839331
1,gpt-3.5-turbo-0125,English,2A-EN,6_EN/2A,John will look for the cat in the {RESPONSE}.,"box, chest",box,1.0,-0.782656146,-0.6278780549999999,-10.9906603,-0.782656146
1,gpt-3.5-turbo-0125,English,2B-EN,5_EN/2B,John thinks that the cat is on the {RESPONSE}.,"box, basket",box,1.0,-1.18674016,-0.372032982,-10.449462,-1.18674016
1,gpt-3.5-turbo-0125,English,2B-EN,6_EN/2B,John will look for the cat on the {RESPONSE}.,"box, basket",box,1.0,-0.496759823,-0.947840326,-11.3471554,-0.496759823
1,gpt-3.5-turbo-0125,English,2C-EN,5_EN,John thinks that the cat is in the {RESPONSE}.,"box, basket",box,1.0,-0.613303744,-0.8149820160000001,-11.08241,-0.613303744
1,gpt-3.5-turbo-0125,English,2C-EN,6_EN,John will look for the cat in the {RESPONSE}.,"box, basket",box,1.0,-0.9083645560000001,-0.550520978,-10.83741595,-0.9083645560000001
1,gpt-3.5-turbo-0125,English,2D-EN,5_EN/2D,Mark thinks that the cat is in the {RESPONSE}.,"box, basket",box,1.0,-0.46548243300000003,-1.018689629,-10.5570466,-0.46548243300000003
1,gpt-3.5-turbo-0125,English,2D-EN,6_EN/2D,Mark will look for the cat in the {RESPONSE}.,"box, basket",box,1.0,-0.420105858,-1.272301792,-11.4504042,-0.420105858
1,gpt-3.5-turbo-0125,Turkish,1-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",çikolata,2.0,-1.24207134,-0.379246311,-8.61068133,-0.379246311
1,gpt-3.5-turbo-0125,Turkish,1-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",çikolata,2.0,-1.45026262,-0.301293758,-8.8193085,-0.301293758
1,gpt-3.5-turbo-0125,Turkish,1A-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-1.00913039,-0.489146739,-8.17019062,-1.00913039
1,gpt-3.5-turbo-0125,Turkish,1A-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-2.73562468,-0.1450404852,-8.89177655,-2.73562468
1,gpt-3.5-turbo-0125,Turkish,1B-TR,1_TR-1/1B,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-2.78145005,-0.1025090985,-3.5767648299999997,-3.5767648299999997
1,gpt-3.5-turbo-0125,Turkish,1B-TR,2_TR/1B,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata, belirsizlik",belirsizlik,3.0,-3.53397323,-0.044016783000000004,-5.04076605,-5.04076605
1,gpt-3.5-turbo-0125,Turkish,1C-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-0.347397886,-1.3098587800000001,-8.995002549999999,-0.347397886
1,gpt-3.5-turbo-0125,Turkish,1C-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-4.55053602,-0.02364356123,-10.82718505,-4.55053602
1,gpt-3.5-turbo-0125,Turkish,1D-TR,1_TR-1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",patlamış mısır,1.0,-1.1522527740000001,-0.396237994,-7.227985630000001,-1.1522527740000001
1,gpt-3.5-turbo-0125,Turkish,1D-TR,2_TR,Ezgi bu torbayı bulduğu için çok mutlu. O {CEVAP} yemeyi çok sever.,"patlamış mısır, çikolata",patlamış mısır,1.0,-2.110265627,-0.199676842,-8.161389699999999,-2.110265627
1,gpt-3.5-turbo-0125,Turkish,2-TR,5_TR-1,Can kedinin {CEVAP} içinde olduğunu düşünüyor.,"kutunun, sepetin",sepetin,2.0,-1.2033421800000002,-0.369136941,-7.052156309999999,-0.369136941
1,gpt-3.5-turbo-0125,Turkish,2-TR,6_TR,Can kediyi {CEVAP} içinde arayacak.,"kutunun, sepetin",sepetin,2.0,-0.587419772,-0.949531644,-8.12094063,-0.949531644
