,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_bytes,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_11_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IMye7YWELZXhhEFCav1xJW6LRLfV,length,0,2,-0.0447353,2,-0.0447353,1,-3.1302245,3,-10.808788, ,-12.034664,0,-12.282457,4,-13.59569,**,-13.849264,"
",-13.905184,-,-14.000856,5,-14.355157,The,-14.74594,7,-15.150826,6,-15.292936,Answer,-15.400225,9,-15.5020895,I,-15.502418,You,-15.759976,#,-15.7797365,Please,-15.821327,<|end|>,,-15.865489,2,assistant,1714165256,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,119,120,0,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IMyfk3F8zQSI86OsL2WWVC0fX8lv,length,0,1,-0.24091211,1,-0.24091211,2,-1.5415713,3,-11.375739,0,-11.718696, ,-11.730729,"
",-13.079196,-,-13.354834,4,-13.563588,**,-13.5861635,Answer,-13.8759165,The,-14.191115,5,-14.627944,#,-14.953828,7,-15.0809555,"

",-15.16633,*,-15.273258,6,-15.343167,Please,-15.351499,You,-15.448558,This,,-15.458952,1,assistant,1714165257,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,126,127,1,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IMyfBRVeHCihAjioolIg51LSDa9E,length,0,3,-0.6455065,3,-0.6455065,2,-0.7795454,1,-4.076119,4,-11.822312, ,-12.710671,"
",-14.313574,-,-14.732489,0,-14.737653,5,-15.034007,<|end|>,-15.094519,**,-15.1040325,The,-15.55196,I,-15.812701,(,-15.875352,*,-16.007196,{,-16.152325,"

",-16.28144,#,-16.347391,[,-16.393864,6,,-16.39414,3,assistant,1714165257,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,127,128,2,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IMygh19RYvjcrpU8TQgQcmE2Waly,length,0,2,-0.1737459,2,-0.1737459,1,-1.8363779,3,-10.449565, ,-10.683881,0,-11.481741,**,-12.41193,-,-12.857877,4,-12.973614,"
",-13.020329,The,-13.472015,5,-13.487037,Answer,-14.076401,7,-14.102149,6,-14.428631,Please,-14.433305,9,-14.65591,"""",-14.702151,I,-14.707544,"

",-14.735865,#,,-14.753065,2,assistant,1714165258,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,157,158,3,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IMygIT5WjNACCgUHQDMxfWj0pJ6F,length,0,1,-0.04912184,1,-0.04912184,2,-3.039402,0,-10.102121, ,-11.629831,3,-11.798811,**,-13.227459,-,-13.325327,"
",-13.418145,Answer,-14.2809105,The,-14.35218,4,-15.014888,#,-15.047344,I,-15.203496,7,-15.237793,Sorry,-15.282624,You,-15.295105,<|end|>,-15.324421,`,-15.38818,"

",-15.403177,"""",,-15.483783,1,assistant,1714165258,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,117,118,4,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IMyg9VI4p5T8Uy9WQUMWpZnYGr4C,length,0,2,-0.47137043,2,-0.47137043,1,-0.9846914,Y,-8.063501,E,-8.489332,Bu,-8.601742,R,-8.6192875,İ,-8.69496,3,-8.940315,CE,-9.213274,C,-9.227566,Tor,-9.295818,0,-9.356804, ,-9.6779175,Ç,-9.730379,"""",-9.860434,Do,-9.912182,B,-9.978861,As,-10.333675,Po,-10.364767,Ö,,-10.404114,2,assistant,1714165258,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,200,201,5,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IMyhzRbEZFXgroPIGnWyQK7FKw9B,length,0,2,-0.6724448,2,-0.6724448,1,-0.7200961,E,-7.599836,3,-7.6158366,0,-8.3178005,Y,-8.674759,İ,-8.725399,C,-8.839764,Do,-8.874338,Ç,-9.176321,Bu,-9.2135315,Tor,-9.5555725,R,-9.636484,Ö,-9.826256,"""",-9.907049,**,-9.971638,CE,-10.26766,4,-10.402241, ,-10.443447,As,,-10.453392,2,assistant,1714165259,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,219,220,6,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IMyhKZEjPR2VHTFiZ8LvkmucuqM9,length,0,2,-0.11158303,2,-0.11158303,1,-2.5868733,3,-3.52794,R,-8.270686,Y,-8.832953,Ç,-9.377509,**,-9.43237,Ben,-9.99385,C,-10.023345,E,-10.432744,Bu,-10.47828,İ,-10.701631, ,-10.744548,4,-10.759366,5,-11.31581,(,-11.3764715,"""",-11.397,Do,-11.419131,CE,-11.424489,[,,-11.579745,2,assistant,1714165259,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,216,217,7,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IMyivaNmAJaXUy3Fxaf7QnhUqwnO,length,0,1,-0.20795691,1,-0.20795691,2,-1.6788145,0,-8.265733,E,-9.121837,İ,-9.277524,Do,-9.304614,3,-9.404891,C,-9.646424,Bu,-9.676192,Y,-9.731437,Tor,-9.760421,**,-10.374028,CE,-10.421781,Ö,-10.502484,{,-10.698468,Po,-10.777585,As,-10.983676,Ce,-11.440223,Pat,-11.491342,"""",,-11.751359,1,assistant,1714165260,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,273,274,8,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IMyioz8husTvPVEU9surjwX3pZ2o,length,0,2,-0.34509522,2,-0.34509522,1,-1.260817,E,-5.6694093,3,-6.9125905,0,-7.248091,Tor,-7.8030972,İ,-7.952971,Y,-8.174737,R,-8.382623,"""",-8.449513,Ç,-8.5974455,Po,-8.719409,4,-9.07525,{,-9.139356,C,-9.35942,B,-9.380263,Bu,-9.413571,5,-9.655515,6,-9.657176,Ö,,-9.825913,2,assistant,1714165260,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,210,211,9,,,,,,,,,,
