,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_5_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_8_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_11_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_10_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9INDH61lgpGSu5MNLaCSopFTCRMOw,length,0,2,-2.9352968e-06,2,-2.9352968e-06,**,-13.351863,Sam,-15.469516,1,-15.47409,Respond,-15.6092615,Based,-15.632228, ,-15.915618,Given,-16.017792,"
",-16.168818,The,-16.574322,Since,-16.872005,２,-18.50531,`,-18.53529,3,-18.605658,\[,-18.630062,​,-18.934513,She,-18.946344,To,-19.326645,Answer,-19.337215,   ,-19.364168,2,assistant,1714166163,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9INDIPSvmLXLiUT35JkepwPMb0c1D,length,0,2,-1.0087517e-05,2,-1.0087517e-05,1,-12.108024,**,-12.884154,Sam,-14.508357,Since,-14.766288,Based,-15.128745,Despite,-15.6444235,Respond,-15.755544,Given,-15.802037,The,-15.903058,"
",-15.985221, ,-16.143381,２,-17.557169,Although,-17.927816,Even,-18.201057,`,-18.416636,3,-18.530453,\[,-18.817692,​,-18.819588,If,-18.872942,2,assistant,1714166164,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9INDIXWHT7ltIrPqbFrMYrJr7qBOt,length,0,3,-0.025168682,3,-0.025168682,2,-3.7072785,1,-8.087218,Since,-13.164147,Sam,-14.20111,Given,-16.173136,"
",-16.617779,**,-16.81533,If,-17.260273, ,-18.134897,Based,-18.442493,Respond,-18.68158,The,-19.092203,Considering,-19.264828,She,-19.584793,Answer,-19.962425, Sam,-20.044537,３,-20.084309,4,-20.361618,I,-20.454096,3,assistant,1714166164,gpt-4-turbo-2024-04-09,chat.completion,fp_0e47b86dd9,1,127,128,2,,,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9INDLSW7G1A4YbgdFsYBOMP78YsnW,length,0,1,-1.3856493e-06,1,-1.3856493e-06,**,-13.929799,2,-14.95976,１,-17.48907, ,-18.261028,"
",-19.368267,Respond,-19.424076,`,-19.475582,₁,-19.537706,The,-19.5899,Based,-19.99348,Given,-20.455008,,-20.625639,3,-21.103853,¹,-21.273643,0,-21.320547,Since,-21.42802,*,-21.73157,Sam,-21.987951,***,-21.995974,1,assistant,1714166167,gpt-4-turbo-2024-04-09,chat.completion,fp_0e47b86dd9,1,157,158,3,,,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9INDNTE6qZhmGGA1a01QykrSs1QMJ,length,0,1,-0.00017636562,1,-0.00017636562,2,-8.650271,The,-15.041238,**,-15.503678,Since,-15.760991,Sam,-15.793485,"
",-16.26801,Based,-16.53606,Given,-16.741493, ,-16.752014,Respond,-17.500048,3,-17.814304,There,-18.331087,１,-18.684628,Answer,-18.870628,According,-18.93926,Despite,-19.15865,If,-19.528437,Considering,-19.646908,This,-19.655355,1,assistant,1714166169,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9INDOpPL4q6y6vsbqhnnAke1MKQfc,length,0,2,-8.537869e-06,2,-8.537869e-06,**,-11.810725,1,-14.612514,"
",-15.202296,E,-15.957627,İ,-17.12907,3,-17.199413,\(,-17.457611,`,-17.56905, ,-17.63438,Ç,-17.816933,Et,-18.463678,0,-18.678616,Po,-18.68999,"""",-18.733967,```,-18.81824,Bu,-18.879856,*,-19.143147,２,-19.154865,***,-19.385788,2,assistant,1714166170,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9INDP0z1ZzIeEphHgrojl1YdXEvIu,length,0,2,-0.10936258,2,-0.10936258,1,-2.2673254,E,-12.901231,**,-13.099992,Et,-14.322581,"
",-15.299987,İ,-15.869792,Po,-16.218714,Ç,-16.259592, ,-17.197449,3,-17.38385,Bu,-18.197903,`,-18.240036,B,-18.255085,Since,-18.2878,The,-18.39082,\(,-18.439203,P,-18.679213,S,-18.730629,Y,-19.023642,2,assistant,1714166171,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9INDPCaZS2rNlOeijUyfevvawyDmD,length,0,2,-0.041295838,2,-0.041295838,3,-3.2136133,E,-8.519327,1,-10.182343,**,-12.982874,"
",-13.154282,Since,-14.640371,Po,-14.852266,Ç,-15.410578,"""E",-16.4694,Bel,-16.66515,İ,-16.713978, ,-16.94883,Et,-17.004112,Bu,-17.18603,B,-17.204756,[E,-17.489298,P,-17.55173,Y,-17.592344,\(,-17.639978,2,assistant,1714166171,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9INDQYGjLYg4aCXMYZ5VT7V24iWDJ,length,0,1,-0.0020229742,1,-0.0020229742,2,-6.206929,E,-12.31643,**,-14.110211,"
",-15.849069,3,-17.444674, ,-17.454863,Ç,-17.539854,İ,-17.544392,0,-18.371126,Po,-18.415548,Bu,-19.303322,"

",-19.547758,`,-19.559994,ç,-19.581251,Pat,-19.76169,C,-19.965364,P,-19.975037,Ö,-20.038671,\(,-20.141794,1,assistant,1714166172,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9INDRuqESMswEJTBTN3nCeK182cyS,length,0,2,-0.6421941,2,-0.6421941,1,-0.7468541,**,-12.403523,E,-13.1669855,Et,-13.389663,"
",-14.427373,İ,-16.29158,Po,-16.442076,3,-17.507164,\(,-17.705793, ,-17.738409,B,-18.098692,Bu,-18.278519,Pat,-18.636435,S,-18.840708,The,-18.853584,Ç,-18.87345,Y,-18.904806,`,-19.042276,***,-19.40033,2,assistant,1714166173,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,,,
