,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_7_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_9_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_4_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IUnQ0QOjv8eZQ7SDIOhadloq7kC9,length,0,2,-3.888926e-06,2,-3.888926e-06,**,-12.915356,Since,-15.360699,1,-15.459324,Based,-15.581333,Sam,-15.747608,Respond,-15.905764, ,-15.959446,"
",-16.040865,Given,-16.208145,The,-16.379131,２,-17.689352,Despite,-18.079454,`,-18.321236,3,-18.61341,\[,-18.754484,​,-18.97736,She,-19.214859,   ,-19.311073,,-19.325575,2,assistant,1714195312,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,119,120,0,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IUnQwF466Ryghd3QXf2FcrLC0vNv,length,0,2,-9.6629374e-05,2,-9.6629374e-05,1,-9.271523,**,-13.905955,Sam,-15.071851,Despite,-15.106128,Since,-15.247668,The,-15.653535,Based,-15.719073,Respond,-16.032545,Given,-16.309856, ,-16.441135,"
",-16.679417,Although,-17.392498,Even,-17.629185,２,-18.21427,Though,-18.227306,3,-18.682703,If,-18.735968,`,-19.004526,​,-19.127708,2,assistant,1714195312,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,126,127,1,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IUnRY8DoXeMnWzYinQOVQpuRokZR,length,0,3,-0.058550157,3,-0.058550157,2,-2.8695014,1,-8.8873825,Since,-13.069803,Sam,-13.609087,Given,-15.9309025,**,-16.494064,If,-17.539522,Respond,-17.597944,Based,-17.888176,"
",-18.154982,The,-18.191917, ,-18.54557,Considering,-19.105963,She,-19.57018, Sam,-19.743492,Answer,-19.979118,I,-20.142004,３,-20.431238,Ass,-20.495922,3,assistant,1714195313,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,127,128,2,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IUnlmN7tByzlwhLNlmhDSJIO3dAE,length,0,1,-1.2664457e-06,1,-1.2664457e-06,**,-13.698871,2,-16.041805,Based,-19.158003,"
",-19.228777,The,-19.60517,Given,-19.622364, ,-19.653006,`,-19.801851,Respond,-19.82633,１,-19.844501,Since,-20.44798,0,-20.925573,₁,-21.073584,Sam,-21.165964,,-21.758633,***,-21.996378,3,-22.09699,[,-22.162533,According,-22.181646,1,assistant,1714195333,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,157,158,3,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IUnm6wSTXKjxZdWiEyfLUBA23wSM,length,0,1,-0.00035167023,1,-0.00035167023,2,-7.954835,**,-15.711917,"
",-15.718553,The,-15.991458, ,-16.532238,Sam,-16.672075,Respond,-16.837963,Based,-17.590384,Given,-17.910187,3,-18.076664,Since,-18.759521,１,-19.043945,Answer,-19.197742,To,-19.49261,Is,-19.62788,If,-19.635216,`,-19.856148,₁,-19.981771,This,-20.320753,1,assistant,1714195334,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,117,118,4,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IUnmpl5urMIA5noRVCGcsfaMoUtK,length,0,2,-6.2729996e-06,2,-6.2729996e-06,**,-12.2147455,1,-14.731196,"
",-14.892699,E,-15.260835,İ,-16.636637,Et,-16.767895,Ç,-16.86674,3,-17.040758, ,-17.320772,`,-17.474674,Po,-17.595064,\(,-17.847437,0,-18.03608,Bu,-18.47477,"""",-18.727913,```,-18.907803,*,-19.057829,Y,-19.143267,{,-19.145414,2,assistant,1714195334,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,200,201,5,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IUnntDVJ7jL62QkWaBF1IXTqQEpv,length,0,2,-0.003927845,2,-0.003927845,1,-5.542956,**,-12.604178,E,-13.956935,"
",-14.421039,Et,-15.634883,İ,-16.125233,Ç,-16.934893,Po,-17.002115, ,-17.442194,3,-17.694107,`,-18.0883,Bu,-18.24417,Since,-18.456348,B,-18.50857,S,-18.754187,\(,-18.83529,P,-18.883982,Y,-19.001146,"""",-19.11041,2,assistant,1714195335,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,219,220,6,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IUnnVtG15e51MnPVyvyFxxdXJYaq,length,0,2,-0.020378495,2,-0.020378495,3,-3.9074597,1,-10.146637,E,-10.156927,**,-13.574375,"
",-14.076912,Bel,-15.64127,Ç,-16.105051,Po,-16.4474, ,-16.77828,Since,-16.968994,İ,-16.991611,"""E",-17.154932,Bu,-17.557243,Et,-17.675665,B,-18.01907,[E,-18.043861,Ö,-18.051857,Y,-18.060207,\(,-18.13955,2,assistant,1714195335,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,216,217,7,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IUnoKl5W5xCPSzIi0z1ZvJfaI3hK,length,0,1,-0.0018822348,1,-0.0018822348,2,-6.27778,E,-13.51643,**,-13.595163,3,-16.90279,"
",-16.943195, ,-17.131908,0,-17.34543,İ,-17.612013,Ç,-17.751488,`,-18.587706,\(,-18.67395,Po,-19.28266,ç,-19.44206,4,-19.670378,Bu,-19.901957,C,-20.120594,-,-20.215677,5,-20.226927,"""",-20.297087,1,assistant,1714195336,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,273,274,8,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IUnoXehy0ArdZOBcP07anxaBoDo4,length,0,1,-0.07309571,1,-0.07309571,2,-2.6523652,**,-13.033258,Et,-14.216349,E,-14.340273,"
",-15.371454,Po,-16.880838,İ,-17.819986, ,-18.301466,3,-18.802477,0,-19.182596,\(,-19.237293,`,-19.593422,Ç,-19.750296,***,-20.042818,Pat,-20.092163,S,-20.235115,B,-20.309572,[,-20.393126,*,-20.403126,1,assistant,1714195336,gpt-4-turbo-2024-04-09,chat.completion,fp_ea6eb70039,1,210,211,9,,,,,,,,,
