,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_19_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IN0unog6N4I1GxJvlG1NmxmrtK8q,length,0,2,-0.118567996,2,-0.118567996,1,-2.1915584,3,-10.511845, ,-11.37652,0,-11.8203945,"
",-12.632091,4,-13.190534,-,-13.276189,**,-13.559711,5,-13.955792,The,-14.320647,"

",-14.751044,7,-14.892822,<|end|>,,-14.928729,6,-14.995686,9,-15.08794," 
",-15.104155,I,-15.227183,You,-15.288239,*,-15.465933,2,assistant,1714165396,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,119,120,0,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IN0upGVxELouHTg5d1qnAMzHwQh6,length,0,2,-0.24474739,2,-0.24474739,1,-1.5276759,3,-11.176903, ,-11.533867,0,-11.878462,"
",-11.972127,**,-12.602354,-,-12.802291,4,-13.663354,The,-13.840409,Answer,-14.159044,"

",-14.2193575,5,-14.598291,#,,-14.797188,You,-14.999347,*,-15.030439,This,-15.1655035,<|end|>,-15.202823,7,-15.211485,I,-15.241524,2,assistant,1714165396,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,126,127,1,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IN0v68yfg8SJ1LIoOgXKMyPh8ODJ,length,0,2,-0.5211887,2,-0.5211887,3,-0.94915766,1,-3.9578495,4,-11.888731, ,-12.715115,"
",-14.483067,<|end|>,-14.694473,5,-14.821849,0,-14.858537,-,-14.979115,**,-15.355611,The,-15.711092,I,-15.929206,6,,-15.931836,"

",-16.204168,*,-16.352663,7,-16.46196,(,-16.477587,Please,-16.538534,#,-16.64625,2,assistant,1714165397,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,127,128,2,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IN0v0bPREsA1IFQ2nmM4gVWpCybA,length,0,2,-0.17592782,2,-0.17592782,1,-1.824825,3,-10.394104, ,-11.186691,0,-11.895111,**,-12.568588,4,-12.954283,The,-13.400474,5,-13.417959,-,-13.467291,"
",-13.992075,7,-14.207266,Answer,-14.2870245,6,,-14.5759325,Please,-14.580374,9,-14.708579,#,-14.867065,"""",-14.868176,This,-15.040095,You,-15.047149,2,assistant,1714165397,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,157,158,3,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IN0w6x5Cb2ANJuRFh3BjFBIM2yXo,length,0,1,-0.010829683,1,-0.010829683,2,-4.5341067,0,-10.777449,3,-12.544762, ,-12.780514,**,-13.307274,-,-13.778169,"
",-14.678585,#,-14.962455,The,-15.30677,Sorry,-15.559958,Answer,-15.658426,4,-15.770699,I,,-15.786207,You,-15.925827,"""",-16.015213,!,-16.123915,7,-16.178745,\,-16.191265,*,-16.258274,1,assistant,1714165398,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,117,118,4,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IN0wObnzd7AMdOLBoSEAyW6FB1jl,length,0,2,-0.21965596,2,-0.21965596,1,-1.6354141,CE,-8.021271,Y,-8.31872,C,-8.329655,İ,-8.431116,R,-8.579716,3,-8.739954,Bu,-9.251928,Do,-9.434866,E,-9.716116,Ç,-9.780043,0,-9.8046665,As,,-9.991476,"""",-10.005093, ,-10.286797,Ce,-10.355326,B,-10.356199,Po,-10.51347,**,-10.695251,2,assistant,1714165398,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,200,201,5,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IN0wgRoOv42moh0qX9pIZvri4ZpR,length,0,2,-0.6724448,2,-0.6724448,1,-0.7200961,E,-7.599836,3,-7.6158366,0,-8.3178005,Y,-8.674759,İ,-8.725399,C,-8.839764,Do,-8.874338,Ç,-9.176321,Bu,-9.2135315,Tor,-9.5555725,R,-9.636484,Ö,,-9.826256,"""",-9.907049,**,-9.971638,CE,-10.26766,4,-10.402241, ,-10.443447,As,-10.453392,2,assistant,1714165398,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,219,220,6,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IN0x9pRbeoflrFVDDOq016YK1NzP,length,0,2,-0.11158303,2,-0.11158303,1,-2.5868733,3,-3.52794,R,-8.270686,Y,-8.832953,Ç,-9.377509,**,-9.43237,Ben,-9.99385,C,-10.023345,E,-10.432744,Bu,-10.47828,İ,-10.701631, ,-10.744548,4,,-10.759366,5,-11.31581,(,-11.3764715,"""",-11.397,Do,-11.419131,CE,-11.424489,[,-11.579745,2,assistant,1714165399,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,216,217,7,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IN0yXAogj0dR1rlR9opiBDpkiOjM,length,0,1,-0.5952852,1,-0.5952852,2,-0.8084333,3,-8.037689,0,-8.150576,E,-8.155073,Tor,-8.608875,Y,-8.639755,Bu,-8.678955,C,-8.711086,İ,-8.74807,{,-8.777845,Do,-9.015289,R,-9.089474,As,,-9.17832,CE,-9.49177,Po,-9.612055,Ö,-9.671093,B,-9.867146,"""",-9.994873,**,-10.136705,1,assistant,1714165400,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,273,274,8,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IN0zsnDydltpci3on3KJTa7zqKq3,length,0,2,-0.43316585,2,-0.43316585,1,-1.075208,E,-5.2287097,Tor,-7.1342425,3,-7.263738,0,-7.690376,R,-7.9354186,İ,-8.074399,Y,-8.098969,"""",-8.27966,Po,-8.381145,{,-9.021474,"""E",-9.040854,Bu,,-9.195977,4,-9.250604,Ç,-9.287808,B,-9.347617,C,-9.566482,5,-9.697669,6,-9.820083,2,assistant,1714165401,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,210,211,9,,,,,,
