,study_id,study_name,scenario_id,scenario_code,story_id,chat_id,story_common_id,story_category,story_name,story_content,story_language,chat_name,chat_language,chat_has_fbv_zan,chat_has_fbv_san,questions,system_message_id,system_message_language,system_message_content,question_index,question_id,question_common_id,question_content,question_options,question_type,question_language,question_has_fbv_zan,question_has_fbv_san,question_tom_order,question_tom_type,answer_id,answer_correct,id,choices_0_finish_reason,choices_0_index,choices_0_logprobs_content_0_token,choices_0_logprobs_content_0_logprob,choices_0_logprobs_content_0_top_logprobs_0_token,choices_0_logprobs_content_0_top_logprobs_0_logprob,choices_0_logprobs_content_0_top_logprobs_1_token,choices_0_logprobs_content_0_top_logprobs_1_logprob,choices_0_logprobs_content_0_top_logprobs_2_token,choices_0_logprobs_content_0_top_logprobs_2_logprob,choices_0_logprobs_content_0_top_logprobs_3_token,choices_0_logprobs_content_0_top_logprobs_3_logprob,choices_0_logprobs_content_0_top_logprobs_4_token,choices_0_logprobs_content_0_top_logprobs_4_logprob,choices_0_logprobs_content_0_top_logprobs_5_token,choices_0_logprobs_content_0_top_logprobs_5_logprob,choices_0_logprobs_content_0_top_logprobs_6_token,choices_0_logprobs_content_0_top_logprobs_6_logprob,choices_0_logprobs_content_0_top_logprobs_7_token,choices_0_logprobs_content_0_top_logprobs_7_logprob,choices_0_logprobs_content_0_top_logprobs_8_token,choices_0_logprobs_content_0_top_logprobs_8_logprob,choices_0_logprobs_content_0_top_logprobs_9_token,choices_0_logprobs_content_0_top_logprobs_9_logprob,choices_0_logprobs_content_0_top_logprobs_10_token,choices_0_logprobs_content_0_top_logprobs_10_logprob,choices_0_logprobs_content_0_top_logprobs_11_token,choices_0_logprobs_content_0_top_logprobs_11_logprob,choices_0_logprobs_content_0_top_logprobs_12_token,choices_0_logprobs_content_0_top_logprobs_12_logprob,choices_0_logprobs_content_0_top_logprobs_13_token,choices_0_logprobs_content_0_top_logprobs_13_logprob,choices_0_logprobs_content_0_top_logprobs_14_token,choices_0_logprobs_content_0_top_logprobs_14_bytes,choices_0_logprobs_content_0_top_logprobs_14_logprob,choices_0_logprobs_content_0_top_logprobs_15_token,choices_0_logprobs_content_0_top_logprobs_15_logprob,choices_0_logprobs_content_0_top_logprobs_16_token,choices_0_logprobs_content_0_top_logprobs_16_logprob,choices_0_logprobs_content_0_top_logprobs_17_token,choices_0_logprobs_content_0_top_logprobs_17_logprob,choices_0_logprobs_content_0_top_logprobs_18_token,choices_0_logprobs_content_0_top_logprobs_18_logprob,choices_0_logprobs_content_0_top_logprobs_19_token,choices_0_logprobs_content_0_top_logprobs_19_logprob,choices_0_message_content,choices_0_message_role,created,model,object,system_fingerprint,usage_completion_tokens,usage_prompt_tokens,usage_total_tokens,session_counter,choices_0_logprobs_content_0_top_logprobs_17_bytes,choices_0_logprobs_content_0_top_logprobs_8_bytes,choices_0_logprobs_content_0_top_logprobs_13_bytes,choices_0_logprobs_content_0_top_logprobs_18_bytes,choices_0_logprobs_content_0_top_logprobs_15_bytes,choices_0_logprobs_content_0_top_logprobs_12_bytes,choices_0_logprobs_content_0_top_logprobs_6_bytes,choices_0_logprobs_content_0_top_logprobs_16_bytes,choices_0_logprobs_content_0_top_logprobs_11_bytes
0,1,Ullman Replication,1,1-EN/1,1-EN,1,1,Unexpected Contents,Base 1,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. She reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,1,chocolate,chatcmpl-9IN8TD5IEQXhShlRmQDKuRTdXUC9k,length,0,2,-0.48348102,2,-0.48348102,1,-0.95889914,3,-10.465444, ,-11.89487,0,-12.72453,"
",-13.324996,4,-13.4698105,-,-13.760723,5,-13.916841,**,-14.231276,The,-14.622569,6,-14.969366,7,-15.033836,I,-15.240116,<|end|>,,-15.352804,9,-15.486155,Please,-15.5402775,"

",-15.577571," 
",-15.626355,You,-15.666238,2,assistant,1714165865,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,119,120,0,,,,,,,,,
1,1,Ullman Replication,2,1A-EN/1,1A-EN,1,1A,Unexpected Contents,Transparent,"Here is a bag filled with popcorn. There is no chocolate in the bag. The bag is made of transparent plastic, so you can see what is inside. Yet, the label on the bag says ’chocolate’ and not “popcorn.” Sam finds the bag. She had never seen the bag before. Sam reads the label.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,11,popcorn,chatcmpl-9IN8U4ThUAit7T9rgTVjZcCep2v6H,length,0,2,-0.23699526,2,-0.23699526,1,-1.5561328,3,-10.959311,0,-11.555777, ,-11.705509,-,-12.572967,"
",-13.061858,**,-13.286865,4,-13.424885,The,-14.136135,5,-14.27777,#,-14.596441,7,-14.819418,"

",-14.82056,6,,-14.960913,9,-14.985543,Answer,-15.089032,<|end|>,-15.362254,"""",-15.381875,8,-15.465277,2,assistant,1714165866,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,126,127,1,,,,,,,,,
2,1,Ullman Replication,3,1B-EN/66,1B-EN,66,1B,Unexpected Contents,Uninformative,"Here is a bag filled with popcorn. There is no chocolate in the bag. Yet, the label on the bag says “chocolate” and not “popcorn.” Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam cannot read. Sam looks at the label.",English,Ullman Replication: 1B Q1 (English),English,,,1_EN/1B,1,English,You are a helpful assistant.,0,1_EN/1B,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate, uncertainty",Closed-ended,English,,,1,Belief,21,uncertainty,chatcmpl-9IN8UvV2sR9XlWljvtbX1bJJDuQXM,length,0,2,-0.27317697,2,-0.27317697,3,-1.5379283,1,-3.7213562,4,-12.333804, ,-12.491336,"
",-13.307574,-,-14.708616,0,-14.803544,<|end|>,-14.834678,5,-14.935387,**,-15.147075,"

",-15.416392,The,-15.439312,I,-15.698581,(,,-15.869918,#,-15.895865,6,-16.018225,Please,-16.098534," 
",-16.168913,{,-16.228184,2,assistant,1714165866,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,127,128,2,,,,,,,,,
3,1,Ullman Replication,4,1C-EN/1,1C-EN,1,1C,Unexpected Contents,Testimony,"Here is a bag filled with popcorn. There is no chocolate in the bag. The label on the bag says “chocolate”, rather than “popcorn.” Before coming into the room, Sam’s friend told her ‘the bag in the room has popcorn in it, ignore the label’. Sam believes her friend. Sam finds the bag. She had never seen the bag before. She cannot see what is inside the bag. Sam reads the label, which says the bag has chocolate in it.",English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,31,popcorn,chatcmpl-9IN8UY8YcO3imWOPzRb27ASLHE6xy,length,0,2,-0.17592782,2,-0.17592782,1,-1.824825,3,-10.394104, ,-11.186691,0,-11.895111,**,-12.568588,4,-12.954283,The,-13.400474,5,-13.417959,-,-13.467291,"
",-13.992075,7,-14.207266,Answer,-14.2870245,6,-14.5759325,Please,,-14.580374,9,-14.708579,#,-14.867065,"""",-14.868176,This,-15.040095,You,-15.047149,2,assistant,1714165866,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,157,158,3,,,,,,,,,
4,1,Ullman Replication,5,1D-EN/1,1D-EN,1,1D,Unexpected Contents,Late Label,Sam fills a bag with popcorn and closes it. There is no chocolate in the bag. Sam writes a label and puts it on the bag. Sam looks at the bag. She cannot see what is inside the bag. Sam reads the label. The label says the bag has chocolate in it.,English,Ullman Replication: Universal 1 Q1 (English),English,,,1_EN,1,English,You are a helpful assistant.,0,1_EN,1,She believes that the bag is full of {RESPONSE}.,"popcorn, chocolate",Closed-ended,English,,,1,Belief,41,popcorn,chatcmpl-9IN8VQBA7vHSSgjmURAIJTRKsYeOa,length,0,1,-0.010829683,1,-0.010829683,2,-4.5341067,0,-10.777449,3,-12.544762, ,-12.780514,**,-13.307274,-,-13.778169,"
",-14.678585,#,-14.962455,The,-15.30677,Sorry,-15.559958,Answer,-15.658426,4,-15.770699,I,-15.786207,You,,-15.925827,"""",-16.015213,!,-16.123915,7,-16.178745,\,-16.191265,*,-16.258274,1,assistant,1714165867,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,117,118,4,,,,,,,,,
5,1,Ullman Replication,6,1-TR/2,1-TR,2,1,Unexpected Contents,Base 1,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,5,çikolata,chatcmpl-9IN8VzHRbLsSxFAU0tNpEgO4x0Wzd,length,0,2,-0.25997716,2,-0.25997716,1,-1.490154,CE,-7.6017475,Y,-7.979786,İ,-7.9888916,R,-8.070654,C,-8.105135,Ç,-8.481735,E,-8.539997,3,-8.590784,Bu,-8.805405,As,-9.036402,0,-9.223898,Ce,-9.51717,Ö,,-9.778717,Do,-9.787334,Tor,-9.810165,B,-10.015606,"""",-10.158945, ,-10.178648,2,assistant,1714165867,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,200,201,5,,,,,,,,,
6,1,Ullman Replication,7,1A-TR/2,1A-TR,2,1A,Unexpected Contents,Transparent,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Poşet, şeffaf plastikten yapılmış, o yüzden içinde ne olduğu görülebiliyor. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Ezgi etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,15,patlamış mısır,chatcmpl-9IN8WhSjj6PFgYaVfkWfrdXE8djmH,length,0,2,-0.25633803,2,-0.25633803,1,-1.4984053,E,-7.8488617,Ç,-7.972086,Do,-8.319616,3,-8.324274,C,-8.57851,Y,-8.650583,R,-8.999174,İ,-9.096075,0,-9.46096,Bu,-9.476301,"""",-9.619352,CE,-9.930742, ,,-10.092339,B,-10.238113,Ö,-10.275671,**,-10.46063,Ben,-10.554726,Et,-10.617781,2,assistant,1714165868,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,219,220,6,,,,,,,,,
7,1,Ullman Replication,8,1B-TR/67,1B-TR,67,1B,Unexpected Contents,Uninformative,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “çikolata” yazıyor, “patlamış mısır” değil. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi okuyamıyor. Ezgi etikete bakıyor.",Turkish,Ullman Replication: 1B Q1 (Turkish),Turkish,,,1_TR-1/1B,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1/1B,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata, belirsizlik",Closed-ended,Turkish,,,1,Belief,25,belirsizlik,chatcmpl-9IN8W8TTCO07HXHotvDB5n7PYyeF5,length,0,2,-0.09890179,2,-0.09890179,1,-2.6937904,3,-3.6629658,R,-8.615681,Y,-8.837849,Ç,-9.221874,**,-9.637892,Ben,-9.845457,E,-10.079643,C,-10.08028,Bu,-10.5449295,İ,-10.689186,4,-10.778545, ,-10.956802,5,,-11.35643,Do,-11.437874,"""",-11.525734,(,-11.562708,B,-11.637503,Bur,-11.649361,2,assistant,1714165868,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,216,217,7,,,,,,,,,
8,1,Ullman Replication,9,1C-TR/2,1C-TR,2,1C,Unexpected Contents,Testimony,"İçi patlamış mısır dolu bir poşet var. Poşetin içinde çikolata yok. Ancak poşetin üzerindeki etikette “patlamış mısır” yerine “çikolata” yazıyor.  Odaya girmeden önce, Ezgi’nin arkadaşı ona “poşetin içinde patlamış mısır var, etiketi görmezden gel” diyor.  Ezgi arkadaşına inanıyor. Ezgi poşeti buluyor. Bu poşeti daha önce hiç görmemişti. Poşetin içinde ne olduğunu göremiyor. Ezgi poşetin içinde çikolata olduğunu belirten etiketi okuyor.",Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,35,patlamış mısır,chatcmpl-9IN8WgKG2XdT4LJ91QnJmL8EohHdK,length,0,1,-0.36958262,1,-0.36958262,2,-1.1823936,E,-7.993152,{,-8.250377,0,-8.339055,Do,-8.430388,Tor,-8.487905,Bu,-8.878869,3,-8.917441,İ,-9.095206,**,-9.145301,Po,-9.273839,Y,-9.449365,C,-9.625596,R,,-9.916051,As,-10.207364,CE,-10.3180895,Ö,-10.39108,B,-10.738204,"""",-10.979445,1,assistant,1714165868,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,273,274,8,,,,,,,,,
9,1,Ullman Replication,10,1D-TR/2,1D-TR,2,1D,Unexpected Contents,Late Label,Ezgi bir poşeti patlamış mısırla doldurup ağzını kapatıyor. Poşetin içinde çikolata yok. Ezgi bir etiket hazırlıyor ve poşetin üstüne yapıştırıyor. Ezgi poşete bakıyor. Poşetin içinde ne olduğunu göremiyor. Ezgi etiketi okuyor. Etiket poşetin içinde çikolata olduğunu belirtiyor.,Turkish,Ullman Replication: Universal 1 Q1 (Turkish),Turkish,,,1_TR-1,2,Turkish,Yardımsever bir asistansın.,0,1_TR-1,1,Ezgi torbanın {CEVAP} dolu olduğuna inanıyor.,"patlamış mısır, çikolata",Closed-ended,Turkish,,,1,Belief,45,patlamış mısır,chatcmpl-9IN8XjeykUJCAADbql2X4RdA6GSi6,length,0,2,-0.50031114,2,-0.50031114,1,-0.94152474,E,-6.6699123,0,-7.585533,Tor,-8.00869,3,-8.41342,Y,-8.63093,Po,-9.03491,İ,-9.429361,"""",-9.589666,Ç,-9.673874,C,-9.712673,B,-9.72596, ,-9.9594,R,,-9.964315,Bu,-10.055723,**,-10.059349,Do,-10.168524,{,-10.192585,4,-10.3844795,2,assistant,1714165869,gpt-3.5-turbo-0125,chat.completion,fp_3b956da36b,1,210,211,9,,,,,,,,,
